username,skill,experience,level,rank,time_retrieved
Zahzr,Overall,3856938121,3040,11014,2024-11-15 03:11:50
Zahzr,Attack,200000000,120,10221,2024-11-15 03:11:50
Zahzr,Defence,200000000,120,6490,2024-11-15 03:11:50
Zahzr,Strength,200000000,120,10049,2024-11-15 03:11:50
Zahzr,Constitution,200000000,120,7925,2024-11-15 03:11:50
Zahzr,Ranged,192445015,120,17658,2024-11-15 03:11:50
Zahzr,Prayer,131094024,120,10242,2024-11-15 03:11:50
Zahzr,Magic,200000000,120,12109,2024-11-15 03:11:50
Zahzr,Cooking,49472401,112,27620,2024-11-15 03:11:50
Zahzr,Woodcutting,194656948,120,7562,2024-11-15 03:11:50
Zahzr,Fletching,42987680,111,27794,2024-11-15 03:11:50
Zahzr,Fishing,93469277,118,29605,2024-11-15 03:11:50
Zahzr,Firemaking,134190770,120,12456,2024-11-15 03:11:50
Zahzr,Crafting,48633575,112,30475,2024-11-15 03:11:50
Zahzr,Smithing,106243343,120,17499,2024-11-15 03:11:50
Zahzr,Mining,114995954,120,19216,2024-11-15 03:11:50
Zahzr,Herblore,134833299,120,23624,2024-11-15 03:11:50
Zahzr,Agility,64593451,115,35233,2024-11-15 03:11:50
Zahzr,Thieving,107671317,120,24096,2024-11-15 03:11:50
Zahzr,Slayer,200000000,120,11977,2024-11-15 03:11:50
Zahzr,Farming,152386897,120,30176,2024-11-15 03:11:50
Zahzr,Runecrafting,107473767,120,14121,2024-11-15 03:11:50
Zahzr,Hunter,114942216,120,14662,2024-11-15 03:11:50
Zahzr,Construction,45946115,111,29778,2024-11-15 03:11:50
Zahzr,Summoning,30876200,107,44654,2024-11-15 03:11:50
Zahzr,Dungeoneering,119173545,120,33067,2024-11-15 03:11:50
Zahzr,Divination,70852327,116,25161,2024-11-15 03:11:50
Zahzr,Invention,200000000,150,11382,2024-11-15 03:11:50
Zahzr,Archaeology,200000000,120,20464,2024-11-15 03:11:50
Zahzr,Necromancy,200000000,120,12284,2024-11-15 03:11:50
ButtBandiit,Overall,2031289872,3038,26938,2024-11-15 03:11:49
ButtBandiit,Attack,43484674,111,59116,2024-11-15 03:11:49
ButtBandiit,Defence,99982014,119,57211,2024-11-15 03:11:49
ButtBandiit,Strength,43509337,111,56956,2024-11-15 03:11:49
ButtBandiit,Constitution,143699046,120,42715,2024-11-15 03:11:49
ButtBandiit,Ranged,65674980,115,58679,2024-11-15 03:11:49
ButtBandiit,Prayer,31991754,108,41947,2024-11-15 03:11:49
ButtBandiit,Magic,104087590,119,50102,2024-11-15 03:11:49
ButtBandiit,Cooking,27553125,106,44292,2024-11-15 03:11:49
ButtBandiit,Woodcutting,38986062,110,38677,2024-11-15 03:11:49
ButtBandiit,Fletching,38427701,109,32059,2024-11-15 03:11:49
ButtBandiit,Fishing,39276061,110,56280,2024-11-15 03:11:49
ButtBandiit,Firemaking,32400486,108,53420,2024-11-15 03:11:49
ButtBandiit,Crafting,36106072,109,38465,2024-11-15 03:11:49
ButtBandiit,Smithing,39081189,110,45929,2024-11-15 03:11:49
ButtBandiit,Mining,40307017,110,60073,2024-11-15 03:11:49
ButtBandiit,Herblore,200000000,120,11469,2024-11-15 03:11:49
ButtBandiit,Agility,37677204,109,48995,2024-11-15 03:11:49
